droga,marca,presentacion,laboratorio,precio
abacavir,,20mg/ml,GlaxoSmithKline,16880.41
abacavir,VIROCAVIR,300 mg comp.rec.x 60,Savant Pharma,9029.6
abacavir,ABACAVIR ELEA,300 mg comp.rec.x 60,Elea,106983.97
abacavir,ZIAGENAVIR,300 mg comp.rec.x 60,GlaxoSmithKline,813168.06
abacavir,FILABAC,300 mg comp.x 60,GP Pharm,187074.73
abacavir,,x 240 ml,LKM Onco/Especi,132048.59
"abacavir,",,rec.x 30,Trb-Pharma,24500.0
"abacavir,",,rec.x 30,Elea,368011.24
"abacavir,",,rec.x 30,Richmond,375540.58
"abacavir,",,rec.x 30,LKM Onco/Especi,1116236.0
"abacavir,",,rec.x 30,GlaxoSmithKline,1445839.64
"abacavir,",,rec.x 60,GlaxoSmithKline,82958.94
abatacept,,125 mg,,4777257.05
abatacept,,250 mg,,2166449.74
abemaciclib,VERZENIO,100 mg comp.x 14,Raffo,2740393.64
abemaciclib,VERZENIO,150 mg comp.x 14,Raffo,2740393.64
abemaciclib,VERZENIO,200 mg comp.x 14,Raffo,2740393.64
abemaciclib,VERZENIO,50 mg comp.x 14,Raffo,2740393.64
"abiraterona,acetato",REXINTH,250 mg comp.rec.x 120,Richmond,11109823.11
"abiraterona,acetato",DINOGARED,250 mg comp.x 120,Savant Generic,4458857.48
"abiraterona,acetato",ROTERONA,250 mg comp.x 120,Varifarma,8032906.37
"abiraterona,acetato",XATERON,250 mg comp.x 120,Eczane,8467799.88
"abiraterona,acetato",,250 mg comp.x 120,,9365746.6
"abiraterona,acetato",BIRAT,250 mg comp.x 120,Everex,9444988.18
"abiraterona,acetato",TYGARONA,250 mg comp.x 120,IMA,11031234.75
"abiraterona,acetato",BITERA,250 mg comp.x 120,Tuteur,11037652.26
"abiraterona,acetato",ABIRATERONA GLENMARK,250 mg comp.x 120,Glenmark,11039636.7
"abiraterona,acetato",KESTAVA,250 mg comp.x 120,Bioprofarma Bag,11078454.48
"abiraterona,acetato",ENORDEN,250 mg comp.x 120,Finadiet,11195346.5
"abiraterona,acetato",TEBIRAN,250 mg comp.x 120,Aspen,11847216.97
"abiraterona,acetato",JAVULAS,250 mg comp.x 120,Kemex,12326772.72
"abiraterona,acetato",,250 mg comp.x 120,,12439577.82
"abiraterona,acetato",ABIRATERON-A,250 mg comp.x 120,Lafedar,12556205.48
"abiraterona,acetato",ZYVALIX,250 mg comp.x 120,LKM Onco/Especi,12695479.0
